cid	name	type	notnull	dflt_value	pk
0	id	TEXT	0		1
1	name	TEXT	1		0
2	dimension	INTEGER	0		0
3	database_id	TEXT	1		0
4	config_json_str	TEXT	0		0
5	schema_str	TEXT	0		0
