cid	name	type	notnull	dflt_value	pk
0	id	INTEGER	0		1
1	segment_id	TEXT	1		0
2	embedding_id	TEXT	1		0
3	seq_id	BLOB	1		0
4	created_at	TIMESTAMP	1	CURRENT_TIMESTAMP	0
