collection_name	segment_id	type	scope
memories	5c884d4b-c0a4-4f6e-8cbd-4b2394ef35c6	urn:chroma:segment/metadata/sqlite	METADATA
memories	90631b0c-2120-4c46-8e59-b9d299602911	urn:chroma:segment/vector/hnsw-local-persisted	VECTOR
