  PID  PPID USER                 ELAPSED COMM
  367     1 root             06-04:09:23 /usr/libexec/opendirectoryd
  368     1 root             06-04:09:23 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  369     1 root             06-04:09:23 /System/Library/CoreServices/launchservicesd
  370     1 _timed           06-04:09:23 /usr/libexec/timed
  371     1 _usbmuxd         06-04:09:23 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd
  372     1 root             06-04:09:23 /usr/sbin/securityd
  374     1 _locationd       06-04:09:23 /usr/libexec/locationd
  375     1 root             06-04:09:23 /usr/libexec/nesessionmanager
  377     1 root             06-04:09:23 autofsd
  378     1 root             06-04:09:23 /usr/libexec/dasd
  379     1 root             06-04:09:23 /usr/libexec/corerepaird
  381     1 _distnote        06-04:09:23 /usr/sbin/distnoted
  382     1 root             06-04:09:23 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
  384     1 root             06-04:09:23 /usr/libexec/dirhelper
  385     1 root             06-04:09:23 /System/Library/CoreServices/logind
  386     1 root             06-04:09:23 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  387     1 root             06-04:09:23 /usr/sbin/KernelEventAgent
  389     1 root             06-04:09:23 /usr/libexec/usermanagerd
  391     1 root             06-04:09:23 /usr/sbin/bluetoothd
  392     1 root             06-04:09:23 /usr/sbin/notifyd
  393     1 root             06-04:09:23 /usr/libexec/sandboxd
  394     1 root             06-04:09:23 /usr/libexec/corebrightnessd
  395     1 root             06-04:09:23 /usr/libexec/AirPlayXPCHelper
  396     1 root             06-04:09:23 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  397     1 root             06-04:09:22 aslmanager
  398     1 root             06-04:09:22 /usr/libexec/logd_helper
  399     1 _windowserver    06-04:09:22 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
  400     1 root             06-04:09:22 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  401     1 root             06-04:09:22 /usr/sbin/cfprefsd
  402     1 bcb              06-04:09:22 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow
  403     1 root             06-04:09:22 /System/Library/CoreServices/coreservicesd
  405     1 _analyticsd      06-04:09:22 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
  406     1 root             06-04:09:22 /usr/libexec/fskitd
  407     1 root             06-04:09:22 /usr/libexec/powerexperienced
  408     1 root             06-04:09:22 /usr/libexec/runningboardd
  409     1 root             06-04:09:22 /usr/libexec/lsd
  410     1 root             06-04:09:22 /System/Library/CoreServices/TimeMachine/backupd-helper
  411     1 root             06-04:09:22 /usr/libexec/PowerUIAgent
  413     1 _coreaudiod      06-04:09:22 /usr/sbin/coreaudiod
  414     1 root             06-04:09:22 /System/Library/CoreServices/liquiddetectiond.app/liquiddetectiond
  415     1 root             06-04:09:22 /usr/libexec/apfsd
  416     1 root             06-04:09:22 /usr/libexec/trustdFileHelper
  417     1 root             06-04:09:22 /usr/libexec/nehelper
  418     1 _nsurlsessiond   06-04:09:22 /usr/libexec/nsurlsessiond
  419     1 root             06-04:09:22 /usr/libexec/centaurid
  420     1 root             06-04:09:22 /System/Library/PrivateFrameworks/CoreAccessories.framework/Support/accessoryd
  421     1 root             06-04:09:22 /usr/libexec/biometrickitd
  423     1 root             06-04:09:22 /usr/libexec/mobileassetd
  424     1 root             06-04:09:22 /usr/libexec/containermanagerd_system
  426     1 root             06-04:09:22 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Resources/backgroundtaskmanagementd
  430     1 root             06-04:09:22 /usr/libexec/ApplicationFirewall/socketfilterfw
  433     1 _biome           06-04:09:22 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed
  435     1 root             06-04:09:22 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
  436     1 root             06-04:09:22 /usr/libexec/eligibilityd
  437     1 _hidd            06-04:09:22 /usr/libexec/hidd
  439     1 root             06-04:09:22 /usr/libexec/tzd
  441     1 root             06-04:09:22 /usr/libexec/secinitd
  444     1 _windowserver    06-04:09:22 /usr/sbin/distnoted
  463     1 _cmiodalassistants 06-04:09:22 /usr/sbin/distnoted
  465     1 root             06-04:09:22 /usr/libexec/securityd_system
  467     1 _networkd        06-04:09:22 /usr/libexec/symptomsd
  468     1 root             06-04:09:22 /System/Library/PrivateFrameworks/MobileAssetDaemon.framework/Versions/A/XPCServices/com.apple.MobileAsset.DownloadService.Builtin.xpc/Contents/MacOS/com.apple.MobileAsset.DownloadService.Builtin
  472     1 root             06-04:09:22 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  480     1 root             06-04:09:22 /usr/sbin/distnoted
  493     1 root             06-04:09:22 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
  501     1 root             06-04:09:22 /usr/libexec/airportd
  504     1 _coreaudiod      06-04:09:22 /usr/sbin/distnoted
  506     1 _mdnsresponder   06-04:09:19 /usr/sbin/mDNSResponder
  508     1 root             06-04:09:19 /System/Library/CoreServices/TimeMachine/backupd
  509     1 root             06-04:09:19 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  510     1 root             06-04:09:19 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  511     1 root             06-04:09:19 /usr/libexec/syspolicyd
  513     1 root             06-04:09:19 /usr/sbin/WirelessRadioManagerd
  515     1 _coreaudiod      06-04:09:19 Core Audio Driver (JumpAudio.driver)
  516     1 _cmiodalassistants 06-04:09:19 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
  518     1 root             06-04:09:19 /usr/sbin/mDNSResponderHelper
  519     1 _audiomxd        06-04:09:19 /usr/libexec/audiomxd
  520     1 _cmiodalassistants 06-04:09:19 /usr/libexec/cameracaptured
  521     1 _cmiodalassistants 06-04:09:19 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  522     1 root             06-04:09:19 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
  523     1 root             06-04:09:19 /usr/libexec/findmybeaconingd
  524     1 root             06-04:09:19 /usr/libexec/triald_system
  526     1 root             06-04:09:19 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  527     1 root             06-04:09:19 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  530     1 _softwareupdate  06-04:09:19 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  532     1 _nsurlsessiond   06-04:09:19 /usr/sbin/distnoted
  533     1 root             06-04:09:19 /usr/libexec/storagekitd
  534     1 root             06-04:09:19 /usr/libexec/audioclocksyncd
  535     1 _mds_stores      06-04:09:19 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  536     1 _coreaudiod      06-04:09:19 Core Audio Driver (JumpAudioMic.driver)
  538     1 root             06-04:09:19 /Applications/LogiTune.app/Contents/Frameworks/LogiTuneUpdater.app/Contents/MacOS/LogiTuneUpdater
  540     1 root             06-04:09:19 /Applications/Jump Desktop Connect.app/Contents/MacOS/JumpConnect
  541     1 root             06-04:09:19 /Applications/LogiTune.app/Contents/Frameworks/LogiRightSight.app/Contents/MacOS/LogiRightSight
  542     1 _driverkit       06-04:09:19 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial
  543     1 _cmiodalassistants 06-04:09:19 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  545     1 root             06-04:09:19 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  547     1 _softwareupdate  06-04:09:19 /usr/sbin/distnoted
  548     1 _modelmanagerd   06-04:09:19 /usr/libexec/modelmanagerd
  549     1 _coreaudiod      06-04:09:19 Core Audio Driver (ParrotAudioPlugin.driver)
  552     1 _cmiodalassistants 06-04:09:19 /usr/libexec/secinitd
  553     1 _driverkit       06-04:09:19 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers
  554     1 root             06-04:09:19 /usr/libexec/audioanalyticsd
  559     1 _cmiodalassistants 06-04:09:19 /usr/sbin/cfprefsd
  560     1 root             06-04:09:19 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
  561     1 root             06-04:09:19 /usr/libexec/mobileactivationd
  563     1 root             06-04:09:18 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  564     1 root             06-04:09:18 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  565     1 _locationd       06-04:09:18 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  566     1 _locationd       06-04:09:18 /usr/sbin/distnoted
  567     1 root             06-04:09:18 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
  569     1 root             06-04:09:18 /System/Library/CoreServices/osanalyticshelper
  570     1 _locationd       06-04:09:18 /usr/libexec/secinitd
  571     1 _locationd       06-04:09:18 /usr/sbin/cfprefsd
  574     1 root             06-04:09:18 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
  577     1 root             06-04:09:18 /usr/libexec/rtcreportingd
  579     1 _appleevents     06-04:09:18 /System/Library/CoreServices/appleeventsd
  580     1 root             06-04:09:18 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  583     1 root             06-04:09:18 /usr/libexec/searchpartyd
  584     1 _audiomxd        06-04:09:18 /usr/sbin/distnoted
  585     1 root             06-04:09:18 /usr/libexec/symptomsd-diag
  586     1 root             06-04:09:18 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  596     1 _spotlight       06-04:09:18 /usr/sbin/distnoted
  597     1 _driverkit       06-04:09:18 /System/Library/DriverExtensions/AppleCentauriAlpha.dext/AppleCentauriAlpha
  598     1 _driverkit       06-04:09:18 /System/Library/DriverExtensions/AppleCentauriControl.dext/AppleCentauriControl
  599     1 _driverkit       06-04:09:18 /System/Library/DriverExtensions/AppleCentauriBeta.dext/AppleCentauriBeta
  604     1 root             06-04:09:17 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  605     1 root             06-04:09:17 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
  606     1 _accessoryupdater 06-04:09:17 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceLegacyAudio.xpc/Contents/MacOS/UARPUpdaterServiceLegacyAudio
  607     1 _accessoryupdater 06-04:09:17 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDisplay.xpc/Contents/MacOS/UARPUpdaterServiceDisplay
  610     1 _accessoryupdater 06-04:09:17 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceUSBPD.xpc/Contents/MacOS/UARPUpdaterServiceUSBPD
  612     1 root             06-04:09:17 /usr/libexec/diagnosticd
  613     1 _accessoryupdater 06-04:09:17 /usr/sbin/distnoted
