  PID  PPID USER                 ELAPSED COMM
  463     1 _cmiodalassistants 06-03:38:32 /usr/sbin/distnoted
  465     1 root             06-03:38:32 /usr/libexec/securityd_system
  467     1 _networkd        06-03:38:32 /usr/libexec/symptomsd
  468     1 root             06-03:38:32 /System/Library/PrivateFrameworks/MobileAssetDaemon.framework/Versions/A/XPCServices/com.apple.MobileAsset.DownloadService.Builtin.xpc/Contents/MacOS/com.apple.MobileAsset.DownloadService.Builtin
  472     1 root             06-03:38:32 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  480     1 root             06-03:38:32 /usr/sbin/distnoted
  493     1 root             06-03:38:32 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
  501     1 root             06-03:38:32 /usr/libexec/airportd
  504     1 _coreaudiod      06-03:38:32 /usr/sbin/distnoted
  506     1 _mdnsresponder   06-03:38:29 /usr/sbin/mDNSResponder
  508     1 root             06-03:38:29 /System/Library/CoreServices/TimeMachine/backupd
  509     1 root             06-03:38:29 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
  510     1 root             06-03:38:29 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
  511     1 root             06-03:38:29 /usr/libexec/syspolicyd
  513     1 root             06-03:38:29 /usr/sbin/WirelessRadioManagerd
  515     1 _coreaudiod      06-03:38:29 Core Audio Driver (JumpAudio.driver)
  516     1 _cmiodalassistants 06-03:38:29 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
  518     1 root             06-03:38:29 /usr/sbin/mDNSResponderHelper
  519     1 _audiomxd        06-03:38:29 /usr/libexec/audiomxd
  520     1 _cmiodalassistants 06-03:38:29 /usr/libexec/cameracaptured
  521     1 _cmiodalassistants 06-03:38:29 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  522     1 root             06-03:38:29 /System/Library/PrivateFrameworks/PowerLog.framework/Versions/A/XPCServices/PerfPowerTelemetryClientRegistrationService.xpc/Contents/MacOS/PerfPowerTelemetryClientRegistrationService
  523     1 root             06-03:38:29 /usr/libexec/findmybeaconingd
  524     1 root             06-03:38:29 /usr/libexec/triald_system
  526     1 root             06-03:38:29 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  527     1 root             06-03:38:29 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
  530     1 _softwareupdate  06-03:38:29 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  532     1 _nsurlsessiond   06-03:38:29 /usr/sbin/distnoted
  533     1 root             06-03:38:29 /usr/libexec/storagekitd
  534     1 root             06-03:38:29 /usr/libexec/audioclocksyncd
  535     1 _mds_stores      06-03:38:29 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  536     1 _coreaudiod      06-03:38:29 Core Audio Driver (JumpAudioMic.driver)
  538     1 root             06-03:38:29 /Applications/LogiTune.app/Contents/Frameworks/LogiTuneUpdater.app/Contents/MacOS/LogiTuneUpdater
  540     1 root             06-03:38:29 /Applications/Jump Desktop Connect.app/Contents/MacOS/JumpConnect
  541     1 root             06-03:38:29 /Applications/LogiTune.app/Contents/Frameworks/LogiRightSight.app/Contents/MacOS/LogiRightSight
  542     1 _driverkit       06-03:38:29 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial
  543     1 _cmiodalassistants 06-03:38:29 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  545     1 root             06-03:38:29 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  547     1 _softwareupdate  06-03:38:29 /usr/sbin/distnoted
  548     1 _modelmanagerd   06-03:38:29 /usr/libexec/modelmanagerd
  549     1 _coreaudiod      06-03:38:29 Core Audio Driver (ParrotAudioPlugin.driver)
  552     1 _cmiodalassistants 06-03:38:29 /usr/libexec/secinitd
  553     1 _driverkit       06-03:38:29 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers
  554     1 root             06-03:38:29 /usr/libexec/audioanalyticsd
  559     1 _cmiodalassistants 06-03:38:29 /usr/sbin/cfprefsd
  560     1 root             06-03:38:29 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
  561     1 root             06-03:38:29 /usr/libexec/mobileactivationd
  563     1 root             06-03:38:28 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  564     1 root             06-03:38:28 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
  565     1 _locationd       06-03:38:28 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  566     1 _locationd       06-03:38:28 /usr/sbin/distnoted
  567     1 root             06-03:38:28 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
  569     1 root             06-03:38:28 /System/Library/CoreServices/osanalyticshelper
  570     1 _locationd       06-03:38:28 /usr/libexec/secinitd
  571     1 _locationd       06-03:38:28 /usr/sbin/cfprefsd
  574     1 root             06-03:38:28 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
  577     1 root             06-03:38:28 /usr/libexec/rtcreportingd
  579     1 _appleevents     06-03:38:28 /System/Library/CoreServices/appleeventsd
  580     1 root             06-03:38:28 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
  583     1 root             06-03:38:28 /usr/libexec/searchpartyd
  584     1 _audiomxd        06-03:38:28 /usr/sbin/distnoted
  585     1 root             06-03:38:28 /usr/libexec/symptomsd-diag
  586     1 root             06-03:38:28 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  596     1 _spotlight       06-03:38:28 /usr/sbin/distnoted
  597     1 _driverkit       06-03:38:28 /System/Library/DriverExtensions/AppleCentauriAlpha.dext/AppleCentauriAlpha
  598     1 _driverkit       06-03:38:28 /System/Library/DriverExtensions/AppleCentauriControl.dext/AppleCentauriControl
  599     1 _driverkit       06-03:38:28 /System/Library/DriverExtensions/AppleCentauriBeta.dext/AppleCentauriBeta
  604     1 root             06-03:38:27 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  605     1 root             06-03:38:27 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectBridgeService.xpc/Contents/MacOS/XProtectBridgeService
  606     1 _accessoryupdater 06-03:38:27 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceLegacyAudio.xpc/Contents/MacOS/UARPUpdaterServiceLegacyAudio
  607     1 _accessoryupdater 06-03:38:27 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceDisplay.xpc/Contents/MacOS/UARPUpdaterServiceDisplay
  610     1 _accessoryupdater 06-03:38:27 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceUSBPD.xpc/Contents/MacOS/UARPUpdaterServiceUSBPD
  612     1 root             06-03:38:27 /usr/libexec/diagnosticd
  613     1 _accessoryupdater 06-03:38:27 /usr/sbin/distnoted
  614     1 root             06-03:38:27 /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  615     1 bcb              06-03:38:27 /usr/sbin/distnoted
  616     1 bcb              06-03:38:27 /usr/sbin/cfprefsd
  617     1 root             06-03:38:27 /usr/libexec/applekeystored
  619     1 bcb              06-03:38:27 /usr/libexec/secd
  620     1 root             06-03:38:27 /System/Library/PrivateFrameworks/CoreKDL.framework/Support/corekdld
  621     1 bcb              06-03:38:27 /usr/libexec/UserEventAgent
  622     1 _gamecontrollerd 06-03:38:27 /usr/libexec/gamecontrollerd
  623     1 bcb              06-03:38:27 /System/Library/CoreServices/WindowManager.app/Contents/MacOS/WindowManager
  624     1 _applepay        06-03:38:27 /usr/libexec/seld
  625     1 bcb              06-03:38:27 /usr/libexec/ContinuityCaptureAgent
  628     1 bcb              06-03:38:27 /usr/libexec/knowledge-agent
  629     1 bcb              06-03:38:27 /usr/libexec/neagent
  631     1 bcb              06-03:38:27 /System/Library/CoreServices/CoreServicesUIAgent.app/Contents/MacOS/CoreServicesUIAgent
  632     1 bcb              06-03:38:27 /usr/sbin/universalaccessd
  633     1 bcb              06-03:38:27 /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  634     1 bcb              06-03:38:27 /usr/libexec/pboard
  635     1 bcb              06-03:38:27 /usr/libexec/containermanagerd
  636     1 bcb              06-03:38:27 /usr/libexec/lsd
  637     1 bcb              06-03:38:27 /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  638     1 bcb              06-03:38:27 /usr/libexec/linkd
  639     1 bcb              06-03:38:27 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/AXVisualSupportAgent.app/Contents/MacOS/AXVisualSupportAgent
  640     1 bcb              06-03:38:27 /System/Library/PrivateFrameworks/AccessibilitySupport.framework/Versions/A/Resources/AccessibilityVisualsAgent.app/Contents/MacOS/AccessibilityVisualsAgent
  641     1 bcb              06-03:38:27 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
  642     1 bcb              06-03:38:27 /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter
  644     1 bcb              06-03:38:27 /usr/libexec/mobilerepaird
  645     1 bcb              06-03:38:27 /usr/libexec/nsurlsessiond
  647     1 bcb              06-03:38:27 /usr/libexec/rapportd
  648     1 bcb              06-03:38:27 /usr/sbin/usernoted
  649     1 bcb              06-03:38:27 /usr/libexec/routined
  650     1 bcb              06-03:38:27 /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd
  651     1 _appleevents     06-03:38:27 /usr/sbin/distnoted
  652     1 bcb              06-03:38:27 /usr/libexec/secinitd
  653     1 bcb              06-03:38:27 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  655     1 bcb              06-03:38:27 /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacOS/CoreLocationAgent
  656     1 bcb              06-03:38:27 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  657     1 bcb              06-03:38:27 /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  658     1 bcb              06-03:38:27 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  659     1 bcb              06-03:38:27 /System/Library/PrivateFrameworks/TelephonyUtilities.framework/callservicesd
  660     1 bcb              06-03:38:27 /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  661     1 bcb              06-03:38:27 /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  662     1 bcb              06-03:38:27 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  663     1 bcb              06-03:38:27 /System/Library/CoreServices/talagentd
  664     1 bcb              06-03:38:27 /System/Library/CoreServices/sharedfilelistd
  665     1 bcb              06-03:38:27 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd
  666     1 bcb              06-03:38:27 /System/Applications/Messages.app/Contents/MacOS/Messages
  667     1 bcb              06-03:38:27 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/TrustedPeersHelper.xpc/Contents/MacOS/TrustedPeersHelper
  668     1 root             06-03:38:27 /usr/libexec/sysmond
  669     1 bcb              06-03:38:27 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  670     1 bcb              06-03:38:27 /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  672     1 bcb              06-03:38:27 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/corespotlightd
  674     1 bcb              06-03:38:26 /usr/libexec/transparencyd
  675     1 bcb              06-03:38:26 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  676     1 bcb              06-03:38:26 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
